x,y,t
0,0,298
1.92667e-12,2.08073e-11,305.853
4.23515e-12,-2.36303e-13,313.698
-1.70739e-11,-2.59856e-12,321.527
-7.00226e-12,-2.18259e-11,329.333
1.41046e-11,-2.79142e-11,337.109
2.28005e-11,-4.83676e-11,344.845
2.67238e-12,-5.83753e-11,352.536
-5.47866e-13,-8.08741e-11,360.172
2.2073e-11,-8.48807e-11,367.748
4.1732e-11,-7.25365e-11,375.254
5.06516e-11,-9.42228e-11,382.684
7.40049e-11,-9.03029e-11,390.031
8.74186e-11,-1.10091e-10,397.287
8.37188e-11,-1.33933e-10,404.445
6.04255e-11,-1.26859e-10,411.498
6.75095e-11,-1.5037e-10,418.438
8.94651e-11,-1.38921e-10,425.26
9.27919e-11,-1.63661e-10,431.957
1.01806e-10,-1.87149e-10,438.521
7.72606e-11,-1.80818e-10,444.946
6.51263e-11,-1.58352e-10,451.227
4.21108e-11,-1.46886e-10,457.356
5.43784e-11,-1.2409e-10,463.328
6.87312e-11,-1.02344e-10,469.137
6.69739e-11,-7.61841e-11,474.777
7.87369e-11,-5.25766e-11,480.242
8.30622e-11,-2.64044e-11,485.528
6.73466e-11,-4.79557e-11,490.628
8.65514e-11,-6.66663e-11,495.539
1.13367e-10,-6.9314e-11,500.254
1.12053e-10,-9.63564e-11,504.77
9.23604e-11,-7.75996e-11,509.082
9.08968e-11,-1.04872e-10,513.186
1.05931e-10,-1.27806e-10,517.077
7.94066e-11,-1.2045e-10,520.752
9.62912e-11,-1.42312e-10,524.207
7.94192e-11,-1.20324e-10,527.439
5.16714e-11,-1.2203e-10,530.444
3.81881e-11,-1.46431e-10,533.22
6.49498e-11,-1.54502e-10,535.764
3.78071e-11,-1.61454e-10,538.073
5.09205e-11,-1.36625e-10,540.146
7.84979e-11,-1.42189e-10,541.979
5.19575e-11,-1.32715e-10,543.572
3.78179e-11,-1.0829e-10,544.922
1.04962e-11,-1.01079e-10,546.029
6.44692e-12,-7.30847e-11,546.89
3.47544e-11,-7.28868e-11,547.507
2.59458e-11,-9.98064e-11,547.877
1.0492e-11,-7.60582e-11,548
3.18658e-11,-9.4663e-11,547.877
5.49331e-11,-7.82102e-11,547.507
4.88196e-11,-5.05537e-11,546.89
3.79439e-11,-7.66894e-11,546.029
1.08195e-11,-6.86674e-11,544.922
-2.77e-12,-4.38926e-11,543.572
9.79573e-13,-7.18645e-11,541.979
-9.17056e-12,-9.81539e-11,540.146
-2.57382e-11,-1.20891e-10,538.073
-9.45668e-12,-1.43768e-10,535.764
-1.31706e-12,-1.70578e-10,533.22
-1.04813e-11,-1.96985e-10,530.444
-1.22322e-11,-2.24809e-10,527.439
4.50997e-12,-2.02616e-10,524.207
3.14289e-11,-2.0921e-10,520.752
9.13379e-12,-1.92901e-10,517.077
2.54527e-11,-1.70735e-10,513.186
2.93031e-11,-1.43584e-10,509.082
5.31158e-11,-1.5696e-10,504.77
7.983e-11,-1.51863e-10,500.254
6.88588e-11,-1.27111e-10,495.539
7.7801e-11,-1.52531e-10,490.628
1.00425e-10,-1.38141e-10,485.528
8.35334e-11,-1.17498e-10,480.242
9.40801e-11,-9.31575e-11,474.777
1.19655e-10,-8.67067e-11,469.137
1.42576e-10,-9.94366e-11,463.328
1.6425e-10,-1.13898e-10,457.356
1.82507e-10,-9.55443e-11,451.227
2.07806e-10,-1.00142e-10,444.946
2.24448e-10,-8.0777e-11,438.521
2.20017e-10,-1.05735e-10,431.957
2.24085e-10,-8.09083e-11,425.26
2.18145e-10,-5.66628e-11,418.438
1.9448e-10,-4.93776e-11,411.498
1.83559e-10,-7.1371e-11,404.445
1.59373e-10,-6.86015e-11,397.287
1.35713e-10,-7.33284e-11,390.031
1.58941e-10,-7.89841e-11,382.684
1.76238e-10,-6.28114e-11,375.254
1.9814e-10,-5.44347e-11,367.748
2.11758e-10,-3.56359e-11,360.172
2.12473e-10,-5.85977e-11,352.536
1.90574e-10,-6.46781e-11,344.845
2.11374e-10,-7.32e-11,337.109
2.29158e-10,-8.65312e-11,329.333
2.24103e-10,-6.51531e-11,321.527
2.24663e-10,-8.68514e-11,313.698
2.26453e-10,-6.54866e-11,305.853
2.38914e-10,-4.83729e-11,298
2.37762e-10,-2.75084e-11,290.147
2.29926e-10,-8.43636e-12,282.302
2.11175e-10,-1.63135e-11,274.473
2.02857e-10,1.93468e-12,266.667
2.05027e-10,-1.7713e-11,258.891
1.8585e-10,-2.11174e-11,251.155
1.67139e-10,-1.68841e-11,243.464
1.59438e-10,3.62359e-13,235.828
1.73912e-10,1.20277e-11,228.252
1.60962e-10,-8.85914e-13,220.746
1.50336e-10,-1.53962e-11,213.316
1.32698e-10,-1.66001e-11,205.969
1.36436e-10,-3.35656e-11,198.713
1.22819e-10,-2.32822e-11,191.555
1.14801e-10,-8.57154e-12,184.502
9.94193e-11,-1.43799e-11,177.562
9.57369e-11,1.32417e-12,170.74
1.0466e-10,-1.17361e-11,164.043
8.93799e-11,-9.1086e-12,157.479
1.04457e-10,-1.09611e-11,151.054
1.19202e-10,-1.29428e-11,144.773
1.09584e-10,-2.38805e-11,138.644
1.22231e-10,-3.04539e-11,132.672
1.29753e-10,-4.21937e-11,126.863
1.16561e-10,-3.875e-11,121.223
1.0358e-10,-3.57307e-11,115.758
1.0675e-10,-2.30986e-11,110.472
1.18926e-10,-1.94086e-11,105.372
1.27953e-10,-1.08699e-11,100.461
1.15821e-10,-1.06996e-11,95.7458
1.27143e-10,-1.41798e-11,91.2299
1.25952e-10,-2.67943e-12,86.918
1.26934e-10,-1.39221e-11,82.8145
1.32774e-10,-4.58187e-12,78.9233
1.43499e-10,-3.79663e-12,75.2484
1.33005e-10,-3.43242e-12,71.7932
1.29934e-10,-1.32184e-11,68.5613
1.33461e-10,-2.26002e-11,65.5559
1.33205e-10,-1.28027e-11,62.7798
1.27675e-10,-2.06389e-11,60.2359
1.22231e-10,-1.29822e-11,57.9266
1.30588e-10,-9.10427e-12,55.8542
1.3633e-10,-2.11369e-12,54.0208
1.34813e-10,6.65294e-12,52.4282
1.38626e-10,1.45449e-11,51.0779
1.4303e-10,7.09881e-12,49.9713
1.50826e-10,1.06275e-11,49.1095
1.59308e-10,1.06972e-11,48.4933
1.67704e-10,9.94022e-12,48.1234
1.59637e-10,1.22711e-11,48
1.65941e-10,1.78018e-11,48.1234
1.66666e-10,2.61677e-11,48.4933
1.5987e-10,2.11805e-11,49.1095
1.6832e-10,2.04357e-11,49.9713
1.72997e-10,1.32696e-11,51.0779
1.78685e-10,6.75142e-12,52.4282
1.70469e-10,3.69739e-12,54.0208
1.61674e-10,2.35465e-12,55.8542
1.61648e-10,-6.69199e-12,57.9266
1.54316e-10,-1.22699e-11,60.2359
1.63008e-10,-8.70431e-12,62.7798
1.59142e-10,7.33428e-14,65.5559
1.50887e-10,5.35631e-12,68.5613
1.48935e-10,-4.47496e-12,71.7932
1.57312e-10,1.44431e-12,75.2484
1.48756e-10,-4.6441e-12,78.9233
1.59192e-10,-7.23965e-12,82.8145
1.69524e-10,-1.10599e-11,86.918
1.63915e-10,-2.08526e-11,91.2299
1.70995e-10,-2.99936e-11,95.7458
1.82833e-10,-3.03986e-11,100.461
1.70823e-10,-3.21229e-11,105.372
1.8268e-10,-3.58403e-11,110.472
1.7797e-10,-2.4021e-11,115.758
1.90849e-10,-2.20821e-11,121.223
1.88717e-10,-3.52381e-11,126.863
1.75113e-10,-3.43203e-11,132.672
1.71199e-10,-2.09383e-11,138.644
1.8535e-10,-2.26433e-11,144.773
1.85229e-10,-8.07894e-12,151.054
1.9971e-10,-1.14888e-11,157.479
1.8688e-10,-3.35593e-12,164.043
1.87404e-10,1.21391e-11,170.74
1.77979e-10,2.48417e-11,177.562
1.78509e-10,4.0963e-11,184.502
1.94562e-10,3.74101e-11,191.555
1.81407e-10,4.77837e-11,198.713
1.65101e-10,5.28146e-11,205.969
1.81398e-10,4.67956e-11,213.316
1.66812e-10,3.68052e-11,220.746
1.789e-10,2.34887e-11,228.252
1.9355e-10,1.25427e-11,235.828
1.78604e-10,1.48961e-12,243.464
1.84593e-10,-1.64236e-11,251.155
1.8471e-10,2.75973e-12,258.891
1.65967e-10,8.05732e-12,266.667
1.55078e-10,-8.43999e-12,274.473
1.41252e-10,-2.29672e-11,282.302
1.22669e-10,-3.12328e-11,290.147
1.43285e-10,-3.15764e-11,298
1.24887e-10,-2.16683e-11,305.853
1.43896e-10,-1.23489e-11,313.698
1.3088e-10,4.68769e-12,321.527
1.45108e-10,-1.17043e-11,329.333
1.28312e-10,2.45427e-12,337.109
1.50434e-10,3.23233e-13,344.845
1.66411e-10,1.61364e-11,352.536
1.78802e-10,3.51893e-11,360.172
1.74699e-10,5.77928e-11,367.748
1.90592e-10,7.47126e-11,375.254
1.69679e-10,6.41041e-11,382.684
1.65727e-10,8.7452e-11,390.031
1.62005e-10,1.11067e-10,397.287
1.82993e-10,9.91647e-11,404.445
2.03302e-10,1.12587e-10,411.498
2.20734e-10,1.29882e-10,418.438
2.09706e-10,1.52051e-10,425.26
1.84743e-10,1.51917e-10,431.957
2.00443e-10,1.32259e-10,438.521
2.11741e-10,1.09567e-10,444.946
2.34763e-10,9.85234e-11,451.227
2.1354e-10,8.40056e-11,457.356
2.03533e-10,1.07881e-10,463.328
1.83775e-10,1.24867e-10,469.137
2.09963e-10,1.26131e-10,474.777
2.36026e-10,1.22078e-10,480.242
2.14907e-10,1.38131e-10,485.528
2.41345e-10,1.34598e-10,490.628
2.23156e-10,1.14898e-10,495.539
2.49587e-10,1.20145e-10,500.254
2.50449e-10,1.47206e-10,504.77
2.24662e-10,1.38565e-10,509.082
2.09192e-10,1.61074e-10,513.186
1.86205e-10,1.76026e-10,517.077
2.10101e-10,1.62363e-10,520.752
1.88084e-10,1.45679e-10,524.207
2.12031e-10,1.59631e-10,527.439
2.23911e-10,1.84765e-10,530.444
2.03805e-10,1.65453e-10,533.22
1.76422e-10,1.71069e-10,535.764
1.57829e-10,1.92029e-10,538.073
1.54685e-10,1.64127e-10,540.146
1.81706e-10,1.71956e-10,541.979
1.68911e-10,1.97064e-10,543.572
1.41153e-10,2.02162e-10,544.922
1.32361e-10,1.75307e-10,546.029
1.59933e-10,1.68991e-10,546.89
1.45002e-10,1.44941e-10,547.507
1.65724e-10,1.64251e-10,547.877
1.40995e-10,1.5042e-10,548
1.13419e-10,1.43898e-10,547.877
1.21777e-10,1.16825e-10,547.507
1.23744e-10,1.4508e-10,546.89
1.37871e-10,1.20549e-10,546.029
1.62877e-10,1.07328e-10,544.922
1.90883e-10,1.03571e-10,543.572
1.75882e-10,1.27476e-10,541.979
1.96339e-10,1.08094e-10,540.146
1.88486e-10,1.35109e-10,538.073
1.6041e-10,1.35572e-10,535.764
1.3681e-10,1.50674e-10,533.22
1.46877e-10,1.24597e-10,530.444
1.48121e-10,9.67458e-11,527.439
1.36399e-10,7.15381e-11,524.207
1.57616e-10,5.37071e-11,520.752
1.30088e-10,5.14155e-11,517.077
1.15602e-10,2.80099e-11,513.186
1.21742e-10,1.28424e-12,509.082
1.09356e-10,2.56263e-11,504.77
1.18976e-10,1.8855e-13,500.254
9.50879e-11,1.29306e-11,495.539
9.74032e-11,-1.39161e-11,490.628
7.96105e-11,6.14212e-12,485.528
7.35807e-11,-1.98402e-11,480.242
6.96961e-11,6.40106e-12,474.777
8.82853e-11,-1.23105e-11,469.137
7.28697e-11,8.89747e-12,463.328
9.83741e-11,1.42298e-11,457.356
8.80516e-11,3.79701e-11,451.227
1.0583e-10,1.93932e-11,444.946
8.58546e-11,3.52977e-11,438.521
9.91838e-11,1.37363e-11,431.957
8.63504e-11,3.53753e-11,425.26
7.17115e-11,1.51557e-11,418.438
9.63855e-11,1.72353e-11,411.498
1.17099e-10,4.04793e-12,404.445
9.27686e-11,3.24195e-12,397.287
1.14153e-10,1.4415e-11,390.031
1.33065e-10,-2.08587e-13,382.684
1.22648e-10,2.10571e-11,375.254
1.34483e-10,4.13001e-11,367.748
1.1257e-10,3.36405e-11,360.172
1.35536e-10,3.30533e-11,352.536
1.19891e-10,1.6567e-11,344.845
1.01113e-10,2.89239e-11,337.109
8.70244e-11,1.17344e-11,329.333
8.16713e-11,-9.57077e-12,321.527
8.70945e-11,-3.05879e-11,313.698
8.6357e-11,-5.20148e-11,305.853
9.17988e-11,-3.15563e-11,298
7.99713e-11,-1.43294e-11,290.147
9.41745e-11,6.17701e-13,282.302
1.0916e-10,1.43683e-11,274.473
1.28525e-10,9.15375e-12,266.667
1.13366e-10,2.18396e-11,258.891
1.00661e-10,7.07646e-12,251.155
8.14891e-11,7.744e-12,243.464
6.60951e-11,1.86879e-11,235.828
5.43876e-11,3.31271e-11,228.252
6.3301e-11,4.9096e-11,220.746
8.09366e-11,4.55689e-11,213.316
9.84545e-11,4.31837e-11,205.969
1.15684e-10,4.54056e-11,198.713
1.31488e-10,5.18412e-11,191.555
1.16362e-10,5.90437e-11,184.502
1.19951e-10,4.29979e-11,177.562
1.30263e-10,3.05948e-11,170.74
1.16574e-10,2.26696e-11,164.043
1.09104e-10,3.6255e-11,157.479
9.56509e-11,2.92003e-11,151.054
8.30918e-11,3.71757e-11,144.773
9.53636e-11,4.50202e-11,138.644
8.30079e-11,5.21259e-11,132.672
6.95405e-11,5.57359e-11,126.863
8.2141e-11,5.05282e-11,121.223
7.57479e-11,3.8834e-11,115.758
8.87709e-11,3.8978e-11,110.472
7.73174e-11,3.3438e-11,105.372
6.66766e-11,2.70213e-11,100.461
7.83943e-11,3.01679e-11,95.7458
7.94325e-11,1.83689e-11,91.2299
9.08682e-11,2.00731e-11,86.918
8.85286e-11,9.03289e-12,82.8145
8.32842e-11,-6.54367e-13,78.9233
9.38042e-11,-2.88501e-12,75.2484
1.0265e-10,2.77268e-12,71.7932
1.12024e-10,6.9361e-12,68.5613
1.20323e-10,1.2556e-11,65.5559
1.24531e-10,2.14075e-11,62.7798
1.18024e-10,1.43614e-11,60.2359
1.14156e-10,5.79978e-12,57.9266
1.17859e-10,1.42358e-11,55.8542
1.15636e-10,2.30051e-11,54.0208
1.1908e-10,1.48016e-11,52.4282
1.13257e-10,2.13524e-11,51.0779
1.04801e-10,1.95231e-11,49.9713
9.82354e-11,2.50108e-11,49.1095
9.93034e-11,3.34262e-11,48.4933
1.06407e-10,3.79641e-11,48.1234
9.89429e-11,3.41172e-11,48
9.27494e-11,3.97718e-11,48.1234
9.47978e-11,4.79154e-11,48.4933
8.73667e-11,4.39361e-11,49.1095
7.99532e-11,3.98131e-11,49.9713
8.35246e-11,4.75892e-11,51.0779
9.08325e-11,5.22192e-11,52.4282
8.46501e-11,4.60064e-11,54.0208
9.30832e-11,4.31711e-11,55.8542
8.49713e-11,4.7176e-11,57.9266
8.57213e-11,3.79936e-11,60.2359
8.62458e-11,4.73738e-11,62.7798
8.22469e-11,5.60915e-11,65.5559
8.66191e-11,6.48632e-11,68.5613
9.24904e-11,5.67398e-11,71.7932
8.76142e-11,6.57631e-11,75.2484
9.79272e-11,6.77384e-11,78.9233
1.00786e-10,7.81053e-11,82.8145
1.11731e-10,7.93536e-11,86.918
1.13842e-10,6.82675e-11,91.2299
1.06728e-10,5.91533e-11,95.7458
9.62842e-11,6.47409e-11,100.461
8.69772e-11,7.25245e-11,105.372
7.57965e-11,7.79458e-11,110.472
8.2156e-11,6.69263e-11,115.758
7.4896e-11,7.77388e-11,121.223
6.29046e-11,8.35556e-11,126.863
5.16808e-11,9.12961e-11,132.672
3.78879e-11,8.92569e-11,138.644
4.68263e-11,1.00359e-10,144.773
3.34385e-11,9.46232e-11,151.054
3.35431e-11,1.095e-10,157.479
4.7879e-11,1.04477e-10,164.043
3.28252e-11,1.08186e-10,170.74
2.46721e-11,1.2174e-10,177.562
1.52689e-11,1.34845e-10,184.502
-7.58803e-13,1.31176e-10,191.555
-1.75031e-11,1.31733e-10,198.713
-3.2952e-11,1.24487e-10,205.969
-4.54577e-11,1.12428e-10,213.316
-5.1356e-11,9.57617e-11,220.746
-6.57174e-11,1.06588e-10,228.252
-7.89702e-11,9.39856e-11,235.828
-6.29643e-11,1.03439e-10,243.464
-4.45632e-11,1.07699e-10,251.155
-6.35751e-11,1.05137e-10,258.891
-5.92612e-11,8.61437e-11,266.667
-6.89775e-11,6.89293e-11,274.473
-7.06823e-11,4.89474e-11,282.302
-8.83783e-11,3.89222e-11,290.147
-9.09541e-11,5.93798e-11,298
-8.57566e-11,3.91402e-11,305.853
-9.97911e-11,2.3291e-11,313.698
-1.15766e-10,8.99156e-12,321.527
-1.37179e-10,5.44264e-12,329.333
-1.26603e-10,-1.38116e-11,337.109
-1.20505e-10,-3.51837e-11,344.845
-1.17159e-10,-5.74122e-11,352.536
-1.05652e-10,-7.7012e-11,360.172
-1.14209e-10,-5.5692e-11,367.748
-1.29753e-10,-7.29327e-11,375.254
-1.36733e-10,-9.53187e-11,382.684
-1.38231e-10,-1.18951e-10,390.031
-1.17413e-10,-1.30704e-10,397.287
-1.15986e-10,-1.06619e-10,404.445
-1.4e-10,-1.02624e-10,411.498
-1.58719e-10,-1.18517e-10,418.438
-1.82368e-10,-1.1118e-10,425.26
-1.67404e-10,-1.3116e-10,431.957
-1.52725e-10,-1.51592e-10,438.521
-1.74606e-10,-1.64391e-10,444.946
-1.80287e-10,-1.39498e-10,451.227
-1.56489e-10,-1.49237e-10,457.356
-1.32109e-10,-1.5794e-10,463.328
-1.19685e-10,-1.80843e-10,469.137
-1.26865e-10,-2.0606e-10,474.777
-1.24162e-10,-1.79823e-10,480.242
-1.02047e-10,-1.65173e-10,485.528
-7.65498e-11,-1.73006e-10,490.628
-7.83419e-11,-1.99759e-10,495.539
-9.12224e-11,-1.7609e-10,500.254
-7.15475e-11,-1.94689e-10,504.77
-8.34051e-11,-1.70214e-10,509.082
-1.09211e-10,-1.79158e-10,513.186
-8.23655e-11,-1.84751e-10,517.077
-1.02513e-10,-2.03506e-10,520.752
-1.12476e-10,-2.2927e-10,524.207
-9.99564e-11,-2.04544e-10,527.439
-7.26264e-11,-2.09635e-10,530.444
-8.64675e-11,-1.85434e-10,533.22
-1.11985e-10,-1.74025e-10,535.764
-9.53443e-11,-1.96567e-10,538.073
-1.04333e-10,-1.69966e-10,540.146
-1.28521e-10,-1.55599e-10,541.979
-1.21353e-10,-1.82852e-10,543.572
-1.1542e-10,-1.55261e-10,544.922
-1.02069e-10,-1.30356e-10,546.029
-1.30347e-10,-1.29677e-10,546.89
-1.31652e-10,-1.01399e-10,547.507
-1.06722e-10,-8.79552e-11,547.877
-8.35688e-11,-1.04288e-10,548
-9.77501e-11,-1.2882e-10,547.877
-9.92671e-11,-1.00527e-10,547.507
-7.17073e-11,-9.39921e-11,546.89
-6.14824e-11,-1.20389e-10,546.029
-5.64389e-11,-1.48222e-10,544.922
-5.38506e-11,-1.7636e-10,543.572
-7.5295e-11,-1.94707e-10,541.979
-9.73214e-11,-2.12286e-10,540.146
-8.58521e-11,-1.86597e-10,538.073
-1.13844e-10,-1.88806e-10,535.764
-1.10038e-10,-1.61047e-10,533.22
-1.15886e-10,-1.33714e-10,530.444
-1.42143e-10,-1.43085e-10,527.439
-1.69943e-10,-1.42914e-10,524.207
-1.42626e-10,-1.38232e-10,520.752
-1.15873e-10,-1.31353e-10,517.077
-1.17949e-10,-1.03905e-10,513.186
-1.29664e-10,-1.28699e-10,509.082
-1.52863e-10,-1.43112e-10,504.77
-1.80059e-10,-1.4317e-10,500.254
-1.77181e-10,-1.1625e-10,495.539
-1.67233e-10,-1.41293e-10,490.628
-1.77281e-10,-1.66151e-10,485.528
-1.76977e-10,-1.92822e-10,480.242
-1.82269e-10,-2.18816e-10,474.777
-1.5795e-10,-2.08603e-10,469.137
-1.8173e-10,-2.19646e-10,463.328
-2.05417e-10,-2.08792e-10,457.356
-1.91072e-10,-1.87243e-10,451.227
-2.09847e-10,-2.04812e-10,444.946
-2.31819e-10,-2.1782e-10,438.521
-2.41933e-10,-1.94576e-10,431.957
-2.59212e-10,-2.12862e-10,425.26
-2.38207e-10,-1.99376e-10,418.438
-2.42113e-10,-2.23827e-10,411.498
-2.66515e-10,-2.26564e-10,404.445
-2.62366e-10,-2.02576e-10,397.287
-2.76732e-10,-2.2196e-10,390.031
-2.80463e-10,-1.98347e-10,382.684
-2.60403e-10,-2.10931e-10,375.254
-2.66538e-10,-1.88299e-10,367.748
-2.63397e-10,-2.11299e-10,360.172
-2.6566e-10,-1.88438e-10,352.536
-2.75303e-10,-2.09019e-10,344.845
-2.69606e-10,-1.87274e-10,337.109
-2.85221e-10,-1.71458e-10,329.333
-3.07179e-10,-1.70829e-10,321.527
-2.87511e-10,-1.8001e-10,313.698
-2.80774e-10,-2.00363e-10,305.853
-2.86751e-10,-1.80055e-10,298
-3.00352e-10,-1.64191e-10,290.147
-3.20005e-10,-1.70428e-10,282.302
-3.38904e-10,-1.77942e-10,274.473
-3.50021e-10,-1.94633e-10,266.667
-3.56731e-10,-2.13227e-10,258.891
-3.56297e-10,-2.32699e-10,251.155
-3.39858e-10,-2.42587e-10,243.464
-3.58736e-10,-2.42001e-10,235.828
-3.72247e-10,-2.5477e-10,228.252
-3.61147e-10,-2.69304e-10,220.746
-3.58742e-10,-2.87128e-10,213.316
-3.42739e-10,-2.79612e-10,205.969
-3.58808e-10,-2.86214e-10,198.713
-3.70731e-10,-2.74007e-10,191.555
-3.55842e-10,-2.66326e-10,184.502
-3.4032e-10,-2.60903e-10,177.562
-3.25486e-10,-2.54568e-10,170.74
-3.39775e-10,-2.61351e-10,164.043
-3.26984e-10,-2.52589e-10,157.479
-3.29004e-10,-2.67644e-10,151.054
-3.43494e-10,-2.71016e-10,144.773
-3.32328e-10,-2.61665e-10,138.644
-3.29043e-10,-2.75535e-10,132.672
-3.38605e-10,-2.65387e-10,126.863
-3.34039e-10,-2.5254e-10,121.223
-3.46313e-10,-2.47345e-10,115.758
-3.52965e-10,-2.36148e-10,110.472
-3.5607e-10,-2.48486e-10,105.372
-3.55594e-10,-2.60903e-10,100.461
-3.62314e-10,-2.71005e-10,95.7458
-3.51843e-10,-2.65469e-10,91.2299
-3.42329e-10,-2.72038e-10,86.918
-3.51703e-10,-2.78321e-10,82.8145
-3.41048e-10,-2.75523e-10,78.9233
-3.3076e-10,-2.78653e-10,75.2484
-3.20267e-10,-2.79045e-10,71.7932
-3.1727e-10,-2.69236e-10,68.5613
-3.27196e-10,-2.70625e-10,65.5559
-3.28555e-10,-2.60918e-10,62.7798
-3.21851e-10,-2.67777e-10,60.2359
-3.23739e-10,-2.7698e-10,57.9266
-3.14882e-10,-2.79516e-10,55.8542
-3.07325e-10,-2.74543e-10,54.0208
-3.08225e-10,-2.83395e-10,52.4282
-3.00927e-10,-2.7854e-10,51.0779
-3.019e-10,-2.69943e-10,49.9713
-2.94278e-10,-2.66054e-10,49.1095
-2.85798e-10,-2.66292e-10,48.4933
-2.81359e-10,-2.59126e-10,48.1234
-2.73398e-10,-2.56454e-10,48
-2.66404e-10,-2.51826e-10,48.1234
-2.62088e-10,-2.59029e-10,48.4933
-2.54237e-10,-2.55962e-10,49.1095
-2.5773e-10,-2.48232e-10,49.9713
-2.52165e-10,-2.41732e-10,51.0779
-2.58277e-10,-2.47854e-10,52.4282
-2.62239e-10,-2.55673e-10,54.0208
-2.65591e-10,-2.63914e-10,55.8542
-2.58982e-10,-2.70092e-10,57.9266
-2.64827e-10,-2.6297e-10,60.2359
-2.58297e-10,-2.56215e-10,62.7798
-2.59962e-10,-2.4677e-10,65.5559
-2.69651e-10,-2.4825e-10,68.5613
-2.6272e-10,-2.4101e-10,71.7932
-2.56037e-10,-2.3323e-10,75.2484
-2.66007e-10,-2.29937e-10,78.9233
-2.70636e-10,-2.2023e-10,82.8145
-2.63198e-10,-2.28356e-10,86.918
-2.56751e-10,-2.37619e-10,91.2299
-2.52492e-10,-2.48367e-10,95.7458
-2.64299e-10,-2.49302e-10,100.461
-2.62327e-10,-2.61273e-10,105.372
-2.50198e-10,-2.58571e-10,110.472
-2.54418e-10,-2.46568e-10,115.758
-2.43086e-10,-2.52989e-10,121.223
-2.29802e-10,-2.51922e-10,126.863
-2.38882e-10,-2.41752e-10,132.672
-2.47089e-10,-2.3048e-10,138.644
-2.49311e-10,-2.16401e-10,144.773
-2.6067e-10,-2.07285e-10,151.054
-2.74496e-10,-2.01792e-10,157.479
-2.60323e-10,-2.07257e-10,164.043
-2.75569e-10,-2.10073e-10,170.74
-2.59854e-10,-2.11872e-10,177.562
-2.44205e-10,-2.07963e-10,184.502
-2.34019e-10,-2.2087e-10,191.555
-2.4887e-10,-2.13115e-10,198.713
-2.50026e-10,-1.96091e-10,205.969
-2.38561e-10,-1.83038e-10,213.316
-2.31344e-10,-1.99178e-10,220.746
-2.1719e-10,-1.88082e-10,228.252
-2.33137e-10,-1.7913e-10,235.828
-2.38456e-10,-1.61319e-10,243.464
-2.20077e-10,-1.56965e-10,251.155
-2.11461e-10,-1.39825e-10,258.891
-2.06446e-10,-1.58645e-10,266.667
-1.88077e-10,-1.65948e-10,274.473
-1.89101e-10,-1.85976e-10,282.302
-2.06298e-10,-1.96836e-10,290.147
-1.88102e-10,-1.87138e-10,298
-1.7847e-10,-2.05681e-10,305.853
-1.82017e-10,-2.26552e-10,313.698
-1.67736e-10,-2.42543e-10,321.527
-1.61197e-10,-2.21846e-10,329.333
-1.4851e-10,-2.03913e-10,337.109
-1.48881e-10,-2.26135e-10,344.845
-1.70318e-10,-2.329e-10,352.536
-1.74176e-10,-2.10502e-10,360.172
-1.51452e-10,-2.07125e-10,367.748
