i,j,u,v
-2.5,-2.5,-2.17559,-2.11177
-2.5,-2.4,-2.13946,-2.07022
-2.5,-2.3,-2.10222,-2.02685
-2.5,-2.2,-2.06381,-1.98147
-2.5,-2.1,-2.02422,-1.93389
-2.5,-2,-1.9834,-1.88387
-2.5,-1.9,-1.94137,-1.83116
-2.5,-1.8,-1.89812,-1.77543
-2.5,-1.7,-1.85371,-1.71631
-2.5,-1.6,-1.80825,-1.65336
-2.5,-1.5,-1.76193,-1.58601
-2.5,-1.4,-1.71505,-1.5136
-2.5,-1.3,-1.66811,-1.43527
-2.5,-1.2,-1.62186,-1.34993
-2.5,-1.1,-1.5774,-1.25615
-2.5,-1,-1.53619,-1.15201
-2.5,-0.9,-1.49974,-1.03485
-2.5,-0.8,-1.46764,-0.900787
-2.5,-0.7,-1.42877,-0.74398
-2.5,-0.6,-1.3264,-0.554997
-2.5,-0.5,-0.961288,-0.317454
-2.5,-0.4,1.42109e-14,3.9968e-15
-2.5,-0.3,1.61927,0.465363
-2.5,-0.2,3.88156,1.25276
-2.5,0.2,3.88156,1.25276
-2.5,0.3,1.61927,0.465363
-2.5,0.4,-1.5099e-14,-4.44089e-15
-2.5,0.5,-0.961288,-0.317454
-2.5,0.6,-1.3264,-0.554997
-2.5,0.7,-1.42877,-0.74398
-2.5,0.8,-1.46764,-0.900787
-2.5,0.9,-1.49974,-1.03485
-2.5,1,-1.53619,-1.15201
-2.5,1.1,-1.5774,-1.25615
-2.5,1.2,-1.62186,-1.34993
-2.5,1.3,-1.66811,-1.43527
-2.5,1.4,-1.71505,-1.5136
-2.5,1.5,-1.76193,-1.58601
-2.5,1.6,-1.80825,-1.65336
-2.5,1.7,-1.85371,-1.71631
-2.5,1.8,-1.89812,-1.77543
-2.5,1.9,-1.94137,-1.83116
-2.5,2,-1.9834,-1.88387
-2.5,2.1,-2.02422,-1.93389
-2.5,2.2,-2.06381,-1.98147
-2.5,2.3,-2.10222,-2.02685
-2.5,2.4,-2.13946,-2.07022
-2.4,-2.5,-2.1366,-2.07022
-2.4,-2.4,-2.10061,-2.02862
-2.4,-2.3,-2.06353,-1.98518
-2.4,-2.2,-2.0253,-1.93972
-2.4,-2.1,-1.98591,-1.89205
-2.4,-2,-1.94532,-1.84193
-2.4,-1.9,-1.90354,-1.7891
-2.4,-1.8,-1.86058,-1.73323
-2.4,-1.7,-1.8165,-1.67395
-2.4,-1.6,-1.7714,-1.6108
-2.4,-1.5,-1.72548,-1.54322
-2.4,-1.4,-1.67902,-1.47052
-2.4,-1.3,-1.63251,-1.39185
-2.4,-1.2,-1.58663,-1.30607
-2.4,-1.1,-1.54231,-1.21174
-2.4,-1,-1.50067,-1.10689
-2.4,-0.9,-1.46231,-0.988782
-2.4,-0.8,-1.42454,-0.853442
-2.4,-0.7,-1.37027,-0.694843
-2.4,-0.6,-1.22946,-0.503258
-2.4,-0.5,-0.795426,-0.261786
-2.4,-0.4,0.212604,0.0618664
-2.4,-0.3,1.8232,0.537348
-2.4,-0.2,4.06371,1.34105
-2.4,0.2,4.06371,1.34105
-2.4,0.3,1.8232,0.537348
-2.4,0.4,0.212604,0.0618664
-2.4,0.5,-0.795426,-0.261786
-2.4,0.6,-1.22946,-0.503258
