x,y,t 
0,0,298
-4.70099,-0.0586998,298
-10.7831,0.556052,298
-12.9481,5.33216,298
-10.3345,7.55144,298
-6.25394,2.75584,298
-5.97879,2.67369,298
-5.77938,2.98379,298
-6.64697,2.98238,298
-8.84654,2.69663,298
-7.41376,4.13174,298
-7.43587,6.96024,298
-9.61664,9.89965,298
-8.94893,11.8619,298
-9.66755,12.0354,298
-11.0611,12.208,298
-15.8519,16.7267,298
-10.6554,19.0663,298
-7.16961,19.6008,298
-4.28532,19.3011,298
-4.8756,18.9002,298
-5.10877,23.9102,298
-1.01568,26.3195,298
0.200945,23.9731,298
2.37301,25.4647,298
-4.5997,28.1345,298
-4.92547,26.439,298
-3.90092,26.2644,298
-10.0778,23.61,298
-9.91596,23.5847,298
-9.0148,25.1695,298
-9.45174,24.2947,298
0.681376,25.6502,298
-2.10827,28.9413,298
-1.74844,28.7218,298
-7.03979,29.0582,298
-7.56741,31.4394,298
-4.11173,28.1455,298
-0.211936,32.9154,298
0.347369,33.0028,298
-2.82124,28.5389,298
-1.64566,28.2081,298
-3.27826,26.6585,298
-1.19895,22.5564,298
0.563028,22.3226,298
1.17729,22.6835,298
1.17982,21.5353,298
-4.98425,21.185,298
-4.56901,23.6486,298
-9.12604,23.7204,298
-8.66871,21.0014,298
-8.69825,22.63,298
-5.13869,19.6411,298
-3.75163,21.587,298
-6.28757,21.9063,298
-2.75028,19.0767,298
0.700123,16.0432,298
2.666,17.7147,298
3.77839,18.1778,298
4.40046,19.4375,298
3.96715,21.6438,298
4.06467,21.3193,298
4.80193,21.5058,298
3.85282,17.1918,298
3.71987,19.3373,298
1.32651,19.9831,298
1.16151,18.2034,298
1.36555,19.4058,298
-0.685313,14.4613,298
1.15676,19.2952,298
0.405987,21.3963,298
0.578193,20.9645,298
-4.53991,21.0287,298
-0.220583,21.403,298
-1.77376,21.4367,298
-6.47364,18.3139,298
-3.13583,24.1206,298
-1.81146,23.4937,298
-3.07943,25.3687,298
-2.55894,25.5905,298
-4.05292,24.3415,298
-3.89761,24.3986,298
-4.93559,25.5601,298
-6.76757,28.0143,298
-4.73438,32.4808,298
-6.99565,34.4777,298
-5.92053,34.7103,298
-4.83071,38.7983,298
-4.89801,41.7212,298
-5.52183,44.4657,298
-5.57826,45.9875,298
-3.05253,50.2325,298
-3.14198,52.3317,298
-9.6026,53.2119,298
-10.5036,49.8709,298
-10.3128,48.8417,298
-9.52348,38.9647,298
-10.1125,41.4833,298
-9.59022,41.0612,298
-7.27812,38.9687,298
-6.30147,38.1931,298
-2.37065,37.4144,298
1.83669,34.6176,298
2.24301,34.3721,298
2.51356,37.5619,298
3.27468,38.6714,298
3.37967,37.3217,298
1.95841,39.1738,298
0.884444,37.1567,298
1.91901,36.3873,298
1.94491,36.6514,298
4.5681,39.1059,298
8.12704,42.7739,298
9.90723,39.566,298
9.15913,46.6951,298
7.90581,48.4421,298
7.96587,48.3978,298
4.34578,46.8166,298
4.33669,46.4579,298
6.26232,41.3894,298
5.33571,39.8501,298
4.99472,39.9486,298
7.44837,38.879,298
5.53301,37.0503,298
4.19682,39.7394,298
6.10765,38.6993,298
8.37516,37.6419,298
10.3699,40.2281,298
12.7506,39.9276,298
12.7156,39.7175,298
13.536,39.5841,298
11.1594,41.7181,298
13.0604,43.4083,298
3.99232,44.8381,298
4.04965,42.9599,298
3.44458,41.8515,298
7.55888,41.8556,298
7.74429,39.8098,298
8.68391,39.5029,298
8.31185,41.4103,298
9.22755,41.4679,298
2.57164,42.5789,298
1.18315,40.1405,298
0.300349,40.0525,298
3.55579,37.696,298
3.92561,38.3929,298
5.47157,39.9608,298
6.52262,42.0326,298
7.32125,42.5861,298
7.27952,42.5768,298
8.13803,44.9262,298
9.09674,45.5994,298
7.54887,45.537,298
7.97989,45.9844,298
6.98521,46.1805,298
5.2676,47.6774,298
2.61457,50.0846,298
3.19555,49.9931,298
8.92657,50.2627,298
6.86697,52.7528,298
6.6029,51.1829,298
9.9974,52.5096,298
9.48297,52.3267,298
4.66147,50.5686,298
3.23987,48.2794,298
5.9648,53.6237,298
3.76233,54.9124,298
5.33257,58.5681,298
5.70444,58.8868,298
8.95802,59.7958,298
